Energy_eV,Li6_barn,Li7_barn,B10_barn,Gd155_barn,Gd157_barn,H1_barn,O16_barn
1.800250e-04,1.112649e+04,5.383038e-01,4.556159e+04,5.823692e+05,2.290477e+06,3.936652e+00,2.252551e-03
1.825939e-04,1.104824e+04,5.345179e-01,4.524118e+04,5.782250e+05,2.274177e+06,3.909037e+00,2.236710e-03
1.851995e-04,1.097169e+04,5.308143e-01,4.492772e+04,5.742040e+05,2.258362e+06,3.881421e+00,2.221213e-03
1.878423e-04,1.089514e+04,5.271107e-01,4.461426e+04,5.701984e+05,2.242607e+06,3.853806e+00,2.205716e-03
1.905229e-04,1.081859e+04,5.234071e-01,4.430081e+04,5.661927e+05,2.226852e+06,3.826190e+00,2.190218e-03
1.932416e-04,1.074204e+04,5.197035e-01,4.398735e+04,5.621871e+05,2.211098e+06,3.799268e+00,2.174721e-03
1.959992e-04,1.066549e+04,5.159999e-01,4.367390e+04,5.582163e+05,2.195480e+06,3.772814e+00,2.159224e-03
1.987961e-04,1.058894e+04,5.122963e-01,4.336044e+04,5.543362e+05,2.180219e+06,3.746360e+00,2.143727e-03
2.016329e-04,1.051293e+04,5.086185e-01,4.304916e+04,5.504562e+05,2.164958e+06,3.719906e+00,2.128338e-03
2.045102e-04,1.043943e+04,5.050624e-01,4.274819e+04,5.465762e+05,2.149698e+06,3.693451e+00,2.113458e-03
