Energy_eV,Gd_0.1pct_Sigma_total_cm-1,Gd_0.1pct_Sigma_dopant_cm-1,Gd_0.3pct_Sigma_total_cm-1,Gd_0.3pct_Sigma_dopant_cm-1,Gd_0.5pct_Sigma_total_cm-1,Gd_0.5pct_Sigma_dopant_cm-1,B_0.1pct_Sigma_total_cm-1,B_0.1pct_Sigma_dopant_cm-1,B_0.3pct_Sigma_total_cm-1,B_0.3pct_Sigma_dopant_cm-1,B_0.5pct_Sigma_total_cm-1,B_0.5pct_Sigma_dopant_cm-1,Li_0.1pct_Sigma_total_cm-1,Li_0.1pct_Sigma_dopant_cm-1,Li_0.3pct_Sigma_total_cm-1,Li_0.3pct_Sigma_dopant_cm-1,Li_0.5pct_Sigma_total_cm-1,Li_0.5pct_Sigma_dopant_cm-1
2.059839e-05,5.800555e+00,5.023425e+00,1.584585e+01,1.507028e+01,2.589114e+01,2.511713e+01,8.523704e+00,7.746574e+00,2.401530e+01,2.323972e+01,3.950689e+01,3.873287e+01,3.880094e+00,3.102963e+00,1.008446e+01,9.308890e+00,1.628884e+01,1.551482e+01
2.089233e-05,5.759373e+00,4.987729e+00,1.573329e+01,1.496319e+01,2.570720e+01,2.493864e+01,8.462584e+00,7.690940e+00,2.384292e+01,2.307282e+01,3.922325e+01,3.845470e+01,3.852323e+00,3.080678e+00,1.001213e+01,9.242035e+00,1.617195e+01,1.540339e+01
2.119046e-05,5.719159e+00,4.952962e+00,1.562355e+01,1.485889e+01,2.552794e+01,2.476481e+01,8.403734e+00,7.637537e+00,2.367727e+01,2.291261e+01,3.895082e+01,3.818769e+01,3.825484e+00,3.059288e+00,9.942526e+00,9.177863e+00,1.605957e+01,1.529644e+01
2.149285e-05,5.678983e+00,4.918195e+00,1.551385e+01,1.475459e+01,2.534872e+01,2.459098e+01,8.344923e+00,7.584135e+00,2.351167e+01,2.275240e+01,3.867842e+01,3.792067e+01,3.798684e+00,3.037896e+00,9.872952e+00,9.113688e+00,1.594722e+01,1.518948e+01
2.179955e-05,5.638845e+00,4.883428e+00,1.540419e+01,1.465028e+01,2.516953e+01,2.441714e+01,8.286149e+00,7.530732e+00,2.334610e+01,2.259220e+01,3.840605e+01,3.765366e+01,3.771921e+00,3.016504e+00,9.803417e+00,9.049513e+00,1.583491e+01,1.508252e+01
2.211063e-05,5.598745e+00,4.848661e+00,1.529456e+01,1.454598e+01,2.499038e+01,2.424330e+01,8.227414e+00,7.477330e+00,2.318057e+01,2.243199e+01,3.813373e+01,3.738665e+01,3.745196e+00,2.995112e+00,9.733920e+00,8.985337e+00,1.572264e+01,1.497556e+01
2.242615e-05,5.558971e+00,4.814183e+00,1.518585e+01,1.444255e+01,2.481272e+01,2.407091e+01,8.168710e+00,7.423921e+00,2.301506e+01,2.227176e+01,3.786141e+01,3.711961e+01,3.718509e+00,2.973721e+00,9.664460e+00,8.921162e+00,1.561041e+01,1.486860e+01
2.274617e-05,5.520129e+00,4.780598e+00,1.507985e+01,1.434179e+01,2.463956e+01,2.390299e+01,8.110751e+00,7.371220e+00,2.285171e+01,2.211366e+01,3.759267e+01,3.685610e+01,3.692141e+00,2.952610e+00,9.595881e+00,8.857830e+00,1.549962e+01,1.476305e+01
2.307076e-05,5.481325e+00,4.747015e+00,1.497389e+01,1.424105e+01,2.446645e+01,2.373508e+01,8.054543e+00,7.320233e+00,2.269354e+01,2.196070e+01,3.733254e+01,3.660117e+01,3.666497e+00,2.932187e+00,9.529401e+00,8.796561e+00,1.539231e+01,1.466094e+01
2.339998e-05,5.442558e+00,4.713431e+00,1.486796e+01,1.414029e+01,2.429336e+01,2.356716e+01,7.998372e+00,7.269246e+00,2.253540e+01,2.180774e+01,3.707244e+01,3.634623e+01,3.640890e+00,2.911764e+00,9.462959e+00,8.735292e+00,1.528503e+01,1.455882e+01
